user,text
@DailyLoud,@DailyLoud
@blockbuster,@blockbuster
@ivantoney24,@ivantoney24
@DailyLoud,@DailyLoud
@modsiwW,@modsiwW
@SaeedDiCaprio,@SaeedDiCaprio
@PopBase,@PopBase
@DailyLoud,@DailyLoud
@DiscussingFilm,@DiscussingFilm
@prettymonkeyeth,@prettymonkeyeth
