title,author,length,User-Agent
On Our Best Behavior,Elise Loehnen,Length: 11 hrs and 54 mins,Scrapy/2.9.0 (+https://scrapy.org)
Manhood,Josh Hawley,Length: 6 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
Mile High,Liz Tomforde,Length: 16 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
Defiant,Michael R. Miller,Length: 26 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,Length: 18 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
To Flail Against Infinity,J. P. Valentine,Length: 14 hrs and 31 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Greatness Mindset,Lewis Howes,Length: 9 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Will of the Many,James Islington,Length: 28 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
From the World of Percy Jackson: Sun and the Star,"Rick Riordan,Mark Oshiro",Length: 13 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Esrahaddon,Michael J. Sullivan,Length: Not Yet Known,Scrapy/2.9.0 (+https://scrapy.org)
Boundless Parenting,Ben Greenfield,Length: 28 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Celebrants,Steven Rowley,Length: 9 hrs and 43 mins,Scrapy/2.9.0 (+https://scrapy.org)
Succubus Summoner,"Virgil Knightley,Annabelle Hawthorne",Length: 7 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Korra Is Live,Chukwufumnaya Anita Obidi,Length: 2 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
House of Pounding Hearts,Olivia Wildenstein,Length: 13 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Close Her Eyes,Lisa Regan,Length: 12 hrs and 2 mins,Scrapy/2.9.0 (+https://scrapy.org)
Blightslayer,Richard Strachan,Length: 9 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
Unexpected Bliss,"Lexi Blake,Sophie Oak",Length: 14 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
