title,author,length,User-Agent
What Lurks Between the Fates,Harper L. Woods,Length: 14 hrs and 8 mins,Scrapy/2.9.0 (+https://scrapy.org)
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Night Angel Nemesis,Brent Weeks,Length: 32 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
Nomad Capitalist,Andrew Henderson,Length: 15 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
You and Your Adult Child,Laurence Steinberg,Length: 7 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
Booked for Murder,Jasmine Webb,Length: 6 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Art of Clear Thinking,Hasard Lee,Length: 6 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
In Each Other's Care,"Stan Tatkin PsyD MFT,Lin Chen",Length: 12 hrs and 19 mins,Scrapy/2.9.0 (+https://scrapy.org)
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins,Scrapy/2.9.0 (+https://scrapy.org)
Claiming the Dragon King,Amelia Hutchins,Length: 12 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Mind Illuminated,"Culadasa John Yates PhD,Matthew Immergut PhD,Jeremy Graves",Length: 16 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
One of Us Is Lying (TV Series Tie-In Edition),Karen M. McManus,Length: 10 hrs and 43 mins,Scrapy/2.9.0 (+https://scrapy.org)
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Lockwood & Co.: The Screaming Staircase, Book 1",Jonathan Stroud,Length: 10 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
Chapel Bend,Kristen Proby,Length: 7 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Poverty, by America",Matthew Desmond,Length: 5 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
I Have Some Questions for You,Rebecca Makkai,Length: 14 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
"The Legend of Dave the Villager, Books 16–20",Dave Villager,Length: 9 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins,Scrapy/2.9.0 (+https://scrapy.org)
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Couple at Table Six,Daniel Hurst,Length: 5 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
Never Kiss a Cowgirl,Ali Vali,Length: 10 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Wedding Planner,Danielle Steel,Length: 8 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
All My Knotted-Up Life,Beth Moore,Length: 8 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
After That Night,Karin Slaughter,Length: 13 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Vein Pursuits,"Rhett C. Bruno,Jaime Castle",Length: 11 hrs and 2 mins,Scrapy/2.9.0 (+https://scrapy.org)
Brutal Minds,Stanley K. Ridgley,Length: 7 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
Water Borne,Octavia Randolph,Length: 15 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
Spirit-Led Living in an Upside-Down World,Stephen Strang,Length: 7 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Johnson at 10,"Anthony Seldon,Raymond Newell",Length: 20 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
Paris,Paris Hilton,Length: 8 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dark Angel,John Sandford,Length: 11 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Broken Light,Joanne Harris,Length: 12 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Make Your Bed,William H. McRaven,Length: 1 hr and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
Twilight,Stephenie Meyer,Length: 12 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Somebody's Wife,Robbi Renee,Length: 9 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Echo of Old Books,Barbara Davis,Length: 13 hrs and 8 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Courage to Be Free,Ron DeSantis,Length: 8 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Awe of God,John Bevere,Length: 7 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Honey, Baby, Mine","Laura Dern,Diane Ladd,Reese Witherspoon - foreword",Length: 7 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Resurrection Walk,Michael Connelly,Length: 12 hrs,Scrapy/2.9.0 (+https://scrapy.org)
House of Beating Wings,Olivia Wildenstein,Length: 15 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Secret Life of Sunflowers,"Marta Molnar,Dana Marton",Length: 9 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Razor 03,Alan C. Mack,Length: 9 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
Zodiac Academy: Origins of an Academy Bully,"Caroline Peckham,Susanne Valenti",Length: 2 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
King: A Life,Jonathan Eig,Length: 20 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
Walking with Sam,Andrew McCarthy,Length: 6 hrs and 43 mins,Scrapy/2.9.0 (+https://scrapy.org)
Final Battle,David Horowitz,Length: 5 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Soul of Ash and Blood,Jennifer L. Armentrout,Length: 24 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Wrecked,Lauren Asher,Length: 11 hrs and 20 mins,Scrapy/2.9.0 (+https://scrapy.org)
Homecoming,Kate Morton,Length: 17 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
Wild New World,Dan Flores,Length: 16 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Body in the Shadows,Nick Louth,Length: 8 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
Battlefield Reclaimer,David North,Length: 20 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Pleiadian Agenda,"Barbara Hand Clow,Brian Swimme PhD - introduction",Length: 13 hrs and 9 mins,Scrapy/2.9.0 (+https://scrapy.org)
Glock Grannies: A Mystery for Every Season,Shannon VanBergen,Length: 11 hrs and 19 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Matchmaker,Catherine Walsh,Length: 10 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Escaping Shadows,Kathleen Brooks,Length: 7 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ruthless Equity,Ken Williams,Length: 6 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
Five Years After,William R. Forstchen,Length: 11 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Not All Himbos Wear Capes,C. Rochelle,Length: 11 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
Painted Scars,Neva Altaj,Length: 6 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Southern Killer,Peter O'Mahoney,Length: 7 hrs and 2 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Fire in the Flesh,Jennifer L. Armentrout,Length: 24 hrs,Scrapy/2.9.0 (+https://scrapy.org)
"Million Dollar Consulting, Sixth Edition",Alan Weiss,Length: 6 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Shadow Docket,Stephen Vladeck,Length: 11 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Keeping Denver,"Crystal Daniels,Sandy Alvarez",Length: 6 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Alchemist,Paulo Coelho,Length: 4 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Good to Great,Jim Collins,Length: 10 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Traction,Gino Wickman,Length: 6 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
You Can't Joke About That,Kat Timpf,Length: 7 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Birdcage Murders,Karen Baugh Menuhin,Length: 8 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Wisdom of the Bullfrog,Admiral William H. McRaven,Length: 3 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Guest,Emma Cline,Length: 8 hrs and 36 mins,Scrapy/2.9.0 (+https://scrapy.org)
Simply Lies,David Baldacci,Length: 11 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ensnared,Tiffany Roberts,Length: 11 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Dying Place,Charly Cox,Length: 9 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins,Scrapy/2.9.0 (+https://scrapy.org)
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Only the Dead,Jack Carr,Length: 15 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Monk,Tim Sullivan,Length: 12 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Don't Look Back,Christine Caine,Length: 5 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Lords of Uncreation,Adrian Tchaikovsky,Length: 20 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
Before We Go Live,Stephen Flavall,Length: 6 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Length: 15 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dreams of the Dying: The Dark Corners of Our Minds,Nicolas Lietzau,Length: 23 hrs and 49 mins,Scrapy/2.9.0 (+https://scrapy.org)
Little Heaven,Nick Cutter,Length: 15 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Blade Itself,Joe Abercrombie,Length: 22 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
Grit,Angela Duckworth,Length: 9 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins,Scrapy/2.9.0 (+https://scrapy.org)
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins,Scrapy/2.9.0 (+https://scrapy.org)
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Over Verdant Irish Hills,Ava Miles,Length: 11 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Don't Tell Anybody the Secrets I Told You,Lucinda Williams,Length: 6 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
Anatomy of a Breakthrough,Adam Alter,Length: 8 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Communication and Management of this Book,Vernadette Stevens,Length: 1 hr and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Creature from Jekyll Island,G. Edward Griffin,Length: 24 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,Length: 9 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Assessment of Plant Diversity and Analysis of Community Structure, Economic Analysis Book",Clyde Mercier,Length: 1 hr and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Making a House and Create a Home,Benjamin Gilbert David,Length: 2 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Captain,Will Wight,Length: 11 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Carnival Quest,Brandon Mull,Length: 11 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
Highlanders Hold Grudges,Julie Johnstone,Length: 7 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Drifter,Nick Petrie,Length: 9 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Where the Shadows Dance,Dana Killion,Length: 8 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
Queen Charlotte,"Julia Quinn,Shonda Rhimes",Length: 12 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
Glow,Raven Kennedy,Length: 22 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Romantic,Riley Hart,Length: 6 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
I Summoned My What?!,Montgomery Quinn,Length: 7 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Exchange,John Grisham,Length: 11 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Josephine Tey Collection: 6 Alan Grant Novels; Brat Farrar; & Miss Pym Disposes,Josephine Tey,Length: 61 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Lucky Hit,Hannah Cowan,Length: 8 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
Raw Dog,Jamie Loftus,Length: 9 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
Anne Frank: The Diary of a Young Girl,Anne Frank,Length: 9 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Deborah Mantle,Christy Johnston,Length: 7 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
No Small Bet,Samantha Christy,Length: 9 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
Our King: Charles III,Robert Jobson,Length: 9 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Fastest Tortoise,Ken Hersh,Length: 15 hrs and 54 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Thin Dead Line,Shane Gries,Length: 10 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
The 6 Types of Working Genius,Patrick M. Lencioni,Length: 4 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
System Overclocked,Randi Darren,Length: 11 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
All Things Aside,Iliza Shlesinger,Length: 6 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
Whisper of Iron,Matt Pivots,Length: 7 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Heartless,Elsie Silver,Length: 9 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide (3rd Edition),"Mike Chapple,David Seidl",Length: 19 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
Plot Hole,Macronomicon,Length: 22 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
Beautiful Carnage,Heather Ashley,Length: 8 hrs and 43 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Shifting Current,Dani Pettrey,Length: 5 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Billionaire's Valet,Lucy Lennox,Length: 1 hr and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Demon DIY,"Gwen Grayson,Kirk Mason",Length: 8 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
Forevermore,Dannika Dark,Length: 3 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
Offside,Avery Keelan,Length: 17 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
Murder at the Circus,Lee Strauss,Length: 4 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Aurora Project,Paul McGowan,Length: 7 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
Murtagh,Christopher Paolini,Length: 18 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Wool,Hugh Howey,Length: 15 hrs,Scrapy/2.9.0 (+https://scrapy.org)
The Evil Twins of Technocracy and Transhumanism,Patrick Wood,Length: 7 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
Stealing the Alpha's Heart,Skye Wilson,Length: 10 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
The CompTIA Security+ Computing Technology Industry Association Certification SY0-601 Study Guide - High-Tech Edition,"SMG,Daniel Mateo",Length: 11 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
Pen Pal,J.T. Geissinger,Length: 7 hrs and 54 mins,Scrapy/2.9.0 (+https://scrapy.org)
Sallow Bend,Alan Baxter,Length: 9 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
Castle Town 5,Anya Merchant,Length: 9 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Collector,Daniel Silva,Length: 12 hrs,Scrapy/2.9.0 (+https://scrapy.org)
The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson",Length: 6 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
You Could Make This Place Beautiful,Maggie Smith,Length: 7 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Ferryman,Justin Cronin,Length: 19 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
Young Forever,Dr. Mark Hyman MD,Length: 9 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,Length: 5 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Business Secrets,Jason Madejczyk,Length: 1 hr and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Charisma Myth,Olivia Fox Cabane,Length: 8 hrs and 20 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Tale of Despereaux,Kate DiCamillo,Length: 3 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Red Mars,Kim Stanley Robinson,Length: 23 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Out of My Mind,Sharon M. Draper,Length: 6 hrs and 49 mins,Scrapy/2.9.0 (+https://scrapy.org)
Practical Magic,Alice Hoffman,Length: 9 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
I Am Malala,"Malala Yousafzai,Christina Lamb - contributor",Length: 9 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Butterfly Garden,Dot Hutchison,Length: 9 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
Confessions of a Video Vixen,Karrine Steffans,Length: 5 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Dance of Anger,Harriet Lerner,Length: 6 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
An Unquiet Mind,Kay Redfield Jamison,Length: 2 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Thief,Megan Whalen Turner,Length: 7 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Lovely Bones,Alice Sebold,Length: 10 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
Restart,Gordon Korman,Length: 6 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Unwelcomed Child,V. C. Andrews,Length: 9 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Alive,Piers Paul Read,Length: 11 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Raise an Adult,Julie Lythcott-Haims,Length: 12 hrs and 31 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Breakdown,B. A. Paris,Length: 9 hrs and 20 mins,Scrapy/2.9.0 (+https://scrapy.org)
Uglies,Scott Westerfeld,Length: 10 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
iGen,Jean M. Twenge Ph.D.,Length: 9 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Inkheart,Cornelia Funke,Length: 15 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
Story,Robert McKee,Length: 6 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
Twelve Hours' Sleep by Twelve Weeks Old,"Suzy Giordano,Lisa Abidin",Length: 2 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Death by Meeting,Patrick Lencioni,Length: 4 hrs and 31 mins,Scrapy/2.9.0 (+https://scrapy.org)
Rendezvous with Rama,Arthur C. Clarke,Length: 9 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Hating Game,Sally Thorne,Length: 12 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ringworld,Larry Niven,Length: 11 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Just Kids,Patti Smith,Length: 9 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
Life,"Keith Richards,James Fox",Length: 23 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
My Brilliant Friend,Elena Ferrante,Length: 12 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Clockwork Orange,Anthony Burgess,Length: 7 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Gene,Siddhartha Mukherjee,Length: 19 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
Manufacturing Consent,"Edward S. Herman,Noam Chomsky",Length: 15 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
No Easy Day,"Mark Owen,Kevin Maurer",Length: 6 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Art of Happiness,"His Holiness the Dalai Lama,Howard C. Cutler MD",Length: 3 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Player of Games,Iain M. Banks,Length: 11 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Last Victim,"Jason Moss,Jeffrey Kottler",Length: 10 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Crossing the Chasm,Geoffrey A. Moore,Length: 9 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
"Right Man, Right Time",Meghan Quinn,Length: 12 hrs and 39 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
Star Wars: The High Republic: Path of Vengeance,Cavan Scott,Length: 11 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
How We Love,"Milan Yerkovich,Kay Yerkovich",Length: 10 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
Setting the Table,Danny Meyer,Length: 5 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Heart of Everything That Is,"Bob Drury,Tom Clavin",Length: 12 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Esperanza Rising,Pam Munoz Ryan,Length: 4 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
Who,"Geoff Smart,Randy Street",Length: 4 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Danish Way of Parenting,"Jessica Joelle Alexander,Dissing Sandahl",Length: 3 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
Let My People Go Surfing,"Yvon Chouinard,Naomi Klein",Length: 7 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
An American Beauty,Shana Abe,Length: 11 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Other Einstein,Marie Benedict,Length: 8 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Growing Up as the Scapegoat to Narcissistic Parents,Jay Reid,Length: 8 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dragon Heist,Alexander C. Kane,Length: 9 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Play with Me,Becka Mack,Length: 19 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Standing Dead,Margaret Mizushima,Length: 9 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
